"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"TLE5",4007,7436,5857,6402,877,2283,2082,713
"CRISP1",0,1,0,0,0,0,0,1
"AFG3L1P",567,699,484,562,54,179,173,57
"AFM",1,0,0,0,0,0,0,0
"AFP",4,0,2,4,3,10,8,0
"AGA",1338,1685,1077,1085,260,742,859,310
"ACAN",5,4,4,5,0,0,2,1
"AGER",131,153,137,149,45,146,114,56
"AGL",1479,1372,1376,1822,155,423,523,167
"AGRP",1,0,1,1,1,3,0,0
"JAG1",2086,2309,3556,4953,610,1721,1667,508
"AGT",34,88,63,58,2,2,3,0
"AGTR1",0,0,0,0,140,405,641,202
"AGTR2",0,0,0,1,0,0,0,0
"APLNR",0,1,1,2,0,0,0,0
"AGXT",5,6,6,15,0,1,0,0
"AHCY",14873,21168,12797,14902,3297,8764,9053,2918
"AHR",545,528,571,724,1193,3564,3237,982
"AHSG",6,29,28,34,0,1,0,0
"AIF1",0,2,1,0,0,0,1,0
"CRYBG1",1221,1257,762,915,302,922,504,159
"AK1",1523,2412,1805,2050,145,408,245,94
"AK2",9130,10065,7813,9431,1208,3356,3874,1317
"AK4",5952,5634,11103,12740,925,2512,7154,2656
"AKT1",5602,7026,6311,7287,125,344,222,78
"AKT2",5272,7268,6331,6839,441,1297,931,342
"ALAD",1389,1779,1855,1982,74,303,195,66
"ALAS1",3289,3990,4664,5549,140,438,380,118
"ALAS2",0,4,5,7,0,0,0,0
"ALB",36,24,24,32,1,1,3,0
"ALCAM",4601,5564,11820,12834,2937,8483,11415,3238
"ABCD1",1528,2329,1596,1836,60,167,143,63
"ALDH1A1",1,2,3,0,23,43,18,2
"ALDH2",770,1868,766,816,87,190,281,96
"ALDH3A1",8,2,2,7,6,4,5,0
"ALDH1B1",3739,4390,2437,2834,207,574,234,104
"ALDH1A3",1555,1890,782,947,3612,9327,3548,1216
"ALDH3B1",136,136,104,81,221,584,286,144
"ALDH3B2",1828,2795,1276,1538,0,1,2,1
"ALDH9A1",8580,9567,4229,5247,623,1814,1939,637
"ALDH3A2",4518,5108,2817,3349,858,2196,2192,674
"ABCD2",3,1,1,4,8,22,16,4
"ALDOA",11948,19226,43016,47039,2465,6066,11322,4349
"ALDOB",0,3,9,6,0,1,2,1
"ALDOC",1484,4098,4069,4482,59,119,599,247
"AKR1B1",8,2,4,1,5,18,18,9
"ALK",11,21,19,32,5,13,18,4
"ALOX12",63,89,65,69,16,57,25,2
"ALOX5",7,11,15,17,21,35,55,22
"ALOX5AP",0,0,0,1,219,566,783,304
"ALOX12B",42,92,68,57,5,10,10,7
"ALOX12P2",1,0,1,1,38,127,74,29
"ALOX15",4104,5348,3496,3828,0,2,6,4
"ALOX15B",60,80,16,24,1,0,0,0
"ALPI",0,0,1,0,0,0,0,0
"ALPL",0,4,1,3,21,37,50,26
"ALPP",0,0,0,0,1,0,1,0
"ALPG",0,1,0,0,0,0,1,0
"ALX3",90,104,122,110,7,16,12,3
"AMBN",0,1,0,0,0,0,0,0
"AMBP",6,9,0,2,0,0,3,0
"AMD1",42762,45373,119584,143500,819,2130,1683,441
"AMELX",0,1,8,7,4,8,5,4
"AMFR",1679,2153,2068,2453,767,1971,2037,743
"AMH",82,90,51,97,2,8,9,3
"AMHR2",86,146,101,76,3,7,12,3
"AMPD1",2,1,1,4,0,3,3,0
"AMPD2",1395,2061,2420,2924,341,874,1732,572
"AMPD3",7,7,42,19,346,892,1647,661
"AMPH",3,1,1,0,69,186,97,33
"BIN1",1271,1810,1172,1284,273,675,467,135
"AMT",130,165,232,236,34,68,34,18
"AMY1A",5,4,8,9,1,2,3,1
"AMY1B",5,4,8,9,1,2,3,1
"AMY1C",5,4,8,9,1,2,3,1
"AMY2A",8,8,12,13,2,2,8,4
"AMY2B",50,55,85,94,14,24,46,15
"ANG",228,347,255,270,38,101,147,64
"ANGPT1",2,4,1,3,64,156,317,100
"ANGPT2",180,304,1122,1447,3,6,8,1
"ANK1",386,438,552,489,25,56,21,6
"ANK2",8,9,3,3,71,180,152,54
"ANK3",13587,15295,8616,9564,627,1836,1209,375
"ANPEP",8,9,11,10,177,502,682,268
"SLC25A4",2183,2999,3023,3331,39,135,104,41
"SLC25A5",7723,9625,6534,7978,1201,3301,3382,1151
"SLC25A6",22794,34619,19997,21261,3745,10289,8551,2973
"ANXA1",106,137,141,168,2337,6230,7062,2158
"ANXA2",35,27,44,37,9598,27300,34167,12385
"ANXA2P1",0,2,0,2,62,190,272,96
"ANXA2P2",2,1,2,2,768,2260,3207,1135
"ANXA2P3",0,2,1,1,7,16,27,12
"ANXA3",0,0,0,0,1114,2794,2926,899
"ANXA4",2766,3322,1805,2036,34,175,87,31
"ANXA5",23126,26851,23486,27618,9444,26533,41675,12478
"ANXA6",7441,10177,4934,5736,2717,7026,6556,2180
"ANXA7",5554,7390,4366,4938,3582,10194,9184,3249
"ANXA11",2815,3797,2895,3443,2541,6438,5320,1880
"ANXA13",0,1,0,2,1,0,2,1
"AOAH",4,1,1,0,2,2,3,7
"AOC2",492,560,668,658,23,49,56,13
"AOX1",69,63,37,51,475,1274,2226,741
"APAF1",323,373,459,497,186,457,1063,331
"NUDT2",1038,1663,773,804,158,407,281,73
"APOF",94,130,79,65,3,5,1,1
"APBA1",130,219,59,83,22,58,24,8
"APBA2",1087,1619,1377,1622,172,392,399,108
"APBB1",136,368,88,146,97,276,277,102
"APBB2",988,1307,1064,1169,375,1080,1080,343
"APC",2145,2238,2934,3661,752,2077,2466,678
"AIRE",0,0,0,1,2,0,0,0
"APEH",6589,8464,6757,8451,577,1466,811,302
"APEX1",11156,14523,9228,10821,173,647,351,116
"BIRC2",1959,2152,3154,3201,994,2437,4404,1305
"BIRC3",1294,1318,595,743,171,491,638,173
"XIAP",3782,3623,3283,4025,321,959,986,341
"BIRC5",2967,3260,2461,2993,2299,5740,5918,1933
"APLP1",1254,2235,3246,3416,42,100,143,69
"APLP2",19664,21655,22207,24652,3397,8309,9302,3284
"APOA1",5,9,2,10,1,3,0,1
"APOA2",0,1,0,3,1,0,0,0
"APOB",0,0,0,0,1,2,0,2
"APOC1",4,8,5,6,6,15,12,5
"APOC1P1",0,1,0,1,1,1,1,1
"AQP8",0,0,0,0,0,1,0,0
"APOC2",0,0,0,0,1,2,0,0
"APOC4",0,0,0,0,0,1,0,1
