"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"NBL1",1,2,2,2,343,813,645,262
"NUBP1",682,935,556,686,100,302,218,68
"NBN",3113,3013,1951,2527,1830,4949,3934,1369
"NCAM1",43,72,81,79,189,489,415,143
"NCAM2",23560,25940,18603,20013,5,19,12,0
"NCBP1",4497,5049,3147,3873,345,978,850,261
"NCF2",2,8,6,5,169,493,413,126
"NCF4",2,3,0,2,1,6,5,0
"NCK1",1656,1669,1362,1405,164,444,570,176
"NCL",85532,100056,63532,74135,134,411,264,75
"NDN",534,947,456,575,0,0,0,0
"NDP",5,5,0,2,18,52,43,18
"NDUFA1",4788,7683,4063,4462,473,1095,1135,402
"NDUFA2",579,938,449,467,102,272,207,70
"NDUFA3",1299,2347,1083,1310,635,1416,787,345
"COXFA4",3406,3571,2101,2357,1024,2529,2553,892
"NDUFA5",4946,5401,4246,5033,115,355,384,123
"NDUFA6",2913,3842,2306,2642,831,2271,2182,743
"NDUFA7",4080,6232,3212,3438,172,442,236,100
"NDUFA8",1318,2294,1068,1264,308,702,642,238
"NEB",162,167,146,209,24,67,58,17
"NDUFA9",2030,2736,1747,1993,343,867,764,276
"NDUFA10",4119,5382,4990,5318,480,1441,1288,446
"NDUFAB1",2939,4172,2263,2834,294,830,843,298
"NDUFB1",2018,2998,1356,1481,144,381,355,141
"NDUFB2",716,1657,575,628,212,645,569,189
"NDUFB3",2541,3116,1640,1924,332,885,879,291
"NDUFB4",7111,8391,9478,10557,995,2475,2422,885
"NDUFB5",3647,4358,2977,3334,830,2104,1978,708
"NDUFB6",1103,1466,764,883,31,61,37,14
"NDUFB7",2111,3103,1514,1863,412,981,662,265
"NDUFB8",773,1314,768,935,350,748,716,280
"NDUFB9",3374,5365,3052,3496,1611,3827,3471,1098
"NDUFB10",5117,7270,4714,5324,418,958,755,265
"NDUFC1",3239,3775,2633,3433,388,937,1248,397
"NDUFC2",3412,4742,3212,3411,661,2101,2054,666
"NDUFS1",7818,8845,6204,7269,904,2555,2336,766
"NDUFS2",4915,7016,4349,5154,587,1421,1173,378
"NDUFS3",1322,2123,1150,1559,196,535,496,174
"NDUFV1",4914,7052,4125,5081,515,1158,895,330
"NDUFS4",1547,2201,1508,1639,96,240,224,89
"NDUFS5",11239,15079,9441,11049,1033,2787,2746,913
"NDUFS6",2435,3457,2155,2589,307,651,472,160
"NDUFS8",2776,3781,2576,3238,973,2491,1027,411
"NDUFV2",8092,9823,5838,7142,1540,3643,3470,1008
"NDUFV3",2948,3652,2411,2931,365,1074,610,192
"DRG1",1752,2333,1189,1522,529,1243,1116,368
"NEDD4",791,794,393,425,600,1686,3934,1093
"SEPTIN2",25729,29659,31221,33810,2271,6563,7884,2593
"RPL10A",18143,27714,11788,13273,1444,3794,3124,1195
"NEDD8",2425,3179,2277,2684,491,1213,1213,379
"NEDD9",565,750,2151,2192,162,406,463,135
"NEFM",0,1,1,1,3,8,1,0
"NEFH",5,9,4,3,0,0,5,0
"NELL1",0,0,0,0,0,5,2,0
"NEFL",607,651,923,995,261,784,1733,512
"NEK1",2073,1986,1715,1993,216,581,650,227
"NEK2",3102,3070,2622,2814,458,1193,1141,376
"NEK3",164,200,153,126,32,84,52,27
"NELL2",45,95,36,33,160,435,503,173
"NEO1",2443,3041,3097,3745,666,1639,1889,585
"NEU1",1106,1667,1142,1413,527,1340,1129,428
"NEU2",0,0,0,0,1,1,9,2
"NEUROD1",0,1,2,0,0,0,0,0
"NEUROD2",0,2,0,0,0,0,0,0
"NEUROG1",0,0,0,1,0,0,0,0
"NF1",3379,3727,3864,4563,1116,3211,3529,1143
"NF2",1814,2650,1619,1843,3175,7915,8728,3005
"NFATC1",246,259,214,256,25,45,41,19
"NFATC2",25,40,16,17,57,158,136,49
"NFIA",3782,4449,2970,3214,119,382,173,53
"NFATC3",2005,2287,2208,2358,446,1184,1022,381
"NFATC4",87,107,268,290,116,233,326,122
"NFE2",3,0,0,1,12,28,11,1
"NFE2L1",12753,17513,19528,21404,2828,7760,10186,3555
"NFE2L2",3414,3827,3191,3704,638,1943,1553,534
"NFIB",984,1044,1716,1979,259,673,848,223
"NFIC",9597,12361,9463,10930,264,701,597,220
"NFIL3",771,964,904,1110,58,164,551,153
"NFIX",21508,29025,22847,25045,459,1388,1363,457
"NFKB1",2334,2850,2238,2480,209,527,559,205
"NFKB2",1931,2141,1885,2144,417,1197,995,413
"NFKBIA",4664,5384,16886,19236,784,2251,2207,744
"NFKBIB",557,747,631,704,67,164,88,31
"NFKBIE",133,203,138,169,149,343,275,101
"NFKBIL1",592,1107,729,757,172,437,292,106
"TONSL",983,1255,994,1249,490,1184,627,258
"NFRKB",2531,3358,5824,6193,187,473,451,168
"NFX1",4511,4712,3787,4514,526,1499,1102,388
"NFYA",4732,5181,5948,6535,726,1969,2391,746
"NFYB",2935,3178,5714,6223,172,464,512,154
"NFYC",1589,1862,1034,1272,427,1203,846,285
"NGF",0,0,0,0,2,5,5,3
"NGFR",4,7,1,1,21,58,35,17
"NHLH1",10,17,12,10,3,10,15,4
"NHLH2",2,2,0,1,0,3,1,0
"SNU13",3860,6035,2862,3280,952,2363,1721,616
"NHS",11,24,14,18,189,584,669,219
"NID1",8,7,3,0,131,448,614,191
"NINJ1",1996,3285,1950,2154,201,471,243,101
"NINJ2",0,0,0,0,0,1,0,0
"NIT1",945,1192,773,1040,103,301,248,100
"NKG7",5,7,8,7,0,1,0,0
"NKTR",6864,7021,8244,9460,469,1383,1508,500
"NKX2-2",6,6,2,6,39,87,65,22
"NKX3-1",32359,37197,33818,39083,71,278,252,71
"NKX6-1",24,28,23,21,5,15,10,3
"NNAT",75,98,174,219,4,16,28,7
"NMB",9,50,59,50,23,57,67,21
"NMBR",0,2,0,0,0,2,0,1
"NME1",7468,8619,5802,7442,1226,3420,2406,755
"NME2",5767,9369,5004,5874,2008,4953,4454,1504
"NME3",349,829,300,456,54,115,59,18
"NME4",46,68,48,50,843,2275,1505,560
"NQO2",1118,1451,1079,1158,36,128,68,22
"NMT1",2394,3131,2126,2516,1458,3696,2682,954
"NNMT",54,79,54,77,447,1191,632,195
"NODAL",9,10,1,8,8,10,14,4
"NOP2",3935,5038,3805,4691,495,1312,817,233
"NONO",23759,30427,25134,27704,1018,3063,2193,791
"NOS1",0,3,1,0,5,17,9,6
"NOS2",0,1,0,1,11,16,18,5
"NOS3",457,513,659,663,1,0,2,2
"CNOT2",3631,3899,3980,4577,815,2270,2557,824
"CNOT3",2987,4139,4182,4750,238,700,714,280
"CNOT4",2028,2453,1824,2051,242,695,717,270
"NOTCH1",1271,1595,1398,1696,104,313,177,64
"NPY",0,0,0,0,8,12,13,4
"NOTCH2",2344,2612,1892,2161,2932,7819,8493,2674
"NOTCH3",782,1128,2540,2485,32,88,263,93
"NOTCH4",12,23,29,52,14,41,30,15
"CCN3",43,53,26,44,235,735,388,140
"NOVA1",369,454,229,252,86,239,165,62
"NOVA2",3,1,0,1,26,67,69,18
"PNP",3594,4397,2273,2892,959,2562,2337,873
"NPAS1",10,25,26,29,9,26,17,8
"NPAS2",223,319,322,388,689,1894,2529,877
"NPAT",997,962,922,1121,473,1246,1363,469
"NPC1",3619,3896,2309,2947,1223,3363,4635,1681
"NPHP1",444,527,393,383,60,198,129,41
"NPHS1",1,2,1,1,0,0,0,0
"NPM1",53999,61425,34639,41213,3248,9046,8466,2576
"NPPA",23,15,34,34,2,6,3,1
"NPPB",1,0,0,0,0,0,0,0
"NPPC",83,123,118,170,3,2,0,1
"NPR1",6,21,42,34,7,19,26,7
"NPR2",32,34,32,30,8,25,33,20
"NPR3",50,50,412,401,54,144,163,58
"NPTX1",16,35,87,62,140,396,254,99
"NPTX2",356,540,179,232,35,84,39,11
"NPY1R",96,57,56,86,30,86,48,19
"NPY6R",3,1,5,5,1,1,1,0
"NPY5R",0,0,0,1,3,3,0,1
"SLC11A2",3743,4212,3166,3405,888,2458,2157,849
"NRAP",3,3,2,4,0,1,0,0
"NRAS",5571,5950,5879,6323,378,965,1210,399
"NRCAM",27,36,77,74,50,116,88,31
"NRDC",6634,7538,6458,7734,359,1004,846,293
"NRF1",553,753,550,599,44,177,175,43
"NRGN",293,532,283,271,149,379,219,96
"NRL",133,151,90,116,15,59,26,8
"NRTN",16,28,34,29,27,91,51,20
"YBX1",39509,46860,38633,43782,363,1075,675,227
"NSF",3288,3728,3084,3634,537,1546,1571,546
"NT5E",7,6,1,3,885,2428,4341,1342
"NTF3",22,29,22,30,42,134,178,47
"NTF4",19,23,48,43,12,26,11,3
"NTHL1",279,621,251,284,81,201,104,29
"NTRK1",2,1,1,1,12,27,12,3
"NTRK2",2,12,59,85,48,135,221,92
"NTRK3",3,1,1,0,13,47,38,6
"NTN3",9,17,5,21,7,4,3,0
"ROR1",375,552,428,618,450,1270,823,268
"ROR2",8,16,2,5,12,24,14,5
"DDR2",173,190,234,289,8,19,47,14
"NTS",0,1,1,0,2,2,3,0
"NTSR1",35,64,49,68,15,36,82,24
"NUCB1",1401,2110,1537,1695,376,881,951,356
"NUCB2",6130,5940,3701,4186,627,1781,1997,628
"NUMA1",13083,17597,18340,20615,418,1013,864,299
"NUP88",2513,3104,2236,2616,740,2031,1782,550
"NUP98",6039,6678,5645,6823,1358,3642,3347,1091
"NR4A2",33,23,45,50,3,9,15,4
"NVL",4279,4532,3950,4336,151,445,346,123
"GPR143",36,84,19,40,12,28,30,9
"OAS1",791,842,343,429,48,126,36,16
"OAS2",712,820,131,172,73,244,104,42
"OAS3",2943,3292,1712,2023,126,369,214,83
"OAT",247,282,242,195,771,2035,2067,679
"TBC1D25",477,758,697,704,32,54,71,22
"OAZ1",11947,19114,10906,12333,1744,3948,3751,1385
"OAZ2",3503,4776,4474,4791,385,969,1351,465
"OCA2",1,2,1,0,3,9,9,7
"OCRL",2826,3291,3355,3772,705,1915,1556,573
"ODC1",13323,17949,8334,10760,2568,6447,7268,2619
"ODF1",0,0,0,0,0,0,1,0
"ODF2",4426,4974,3684,4244,210,543,495,239
"OMD",0,2,0,2,1,2,1,2
"OGDH",8112,11235,5458,6745,505,1598,1491,453
"OGG1",762,1183,794,890,95,291,155,56
"OGN",3,2,0,4,0,7,1,0
"OLR1",5,0,1,6,0,2,3,1
"OMG",0,1,2,1,2,3,3,0
"OMP",5,1,6,2,2,7,4,0
"OPA1",5668,6114,4282,4821,942,2513,2377,772
"OPCML",0,0,0,0,0,1,3,0
"TNFRSF11B",14,25,2,3,16,41,10,5
"OPHN1",706,834,912,1048,34,96,63,24
"OPRD1",13,22,67,66,4,19,9,5
"OPRK1",8,27,2,7,1,4,5,0
"OPRL1",19,27,32,34,20,45,18,9
"OPRM1",1,1,0,1,0,1,0,0
"SIX6",0,1,0,0,0,0,0,0
"OR1F1",8,10,3,6,0,0,0,1
"OR2C1",1,1,0,0,0,1,0,0
"ORC1",589,619,490,580,94,231,208,55
"ORC2",2290,2600,1993,2420,443,1211,1128,410
"ORC4",2099,2310,1854,2174,455,1198,1259,453
"ORC5",3571,3697,3612,4727,489,1366,1051,360
"SLC67A1",109,184,167,139,11,26,18,13
"SLC67A1-AS",25,48,59,66,5,13,10,2
"ORM1",34,33,6,11,0,0,0,1
"ORM2",23,40,8,8,0,0,0,1
"OSBP",9968,11044,7726,9080,295,725,752,236
"OSM",1,0,3,1,0,3,0,1
"OTC",0,0,0,0,0,1,3,1
"CLDN11",7,3,8,10,138,455,249,119
"OTX1",143,221,203,234,20,43,29,18
"OVGP1",520,729,365,428,33,67,63,14
"OVOL1",163,247,241,306,0,4,13,2
"OXA1L",3746,5161,3115,3318,656,1635,1034,408
"OXCT1",8571,9599,5922,6650,65,185,138,35
"OXT",0,0,2,1,1,0,0,0
"OXTR",126,166,54,85,417,1200,1293,460
"P2RX1",2,1,3,1,0,1,0,0
"P2RX3",9,11,5,6,0,4,15,2
"P2RX4",492,686,410,462,80,190,141,55
"P2RX5",91,113,65,85,37,81,41,18
"P2RX7",62,91,47,53,61,159,86,25
"P2RY1",0,1,2,1,164,468,563,218
"P2RY2",16,74,34,55,430,1176,1231,409
"P2RY4",2,0,0,0,0,1,0,0
"P2RY6",5,3,3,1,27,56,20,11
"P2RY11",232,435,374,414,61,145,115,37
"P4HA1",4039,5058,12755,13923,2788,7195,23452,7865
"P4HB",34955,45826,36818,42814,1436,4149,6800,2538
"PA2G4",15021,17366,11078,13716,1071,3081,2002,715
"PEBP1",17989,23888,21251,24823,1318,3187,3417,1085
"PABPC3",575,826,542,556,64,214,280,98
"FURIN",769,1148,1402,1594,399,940,1166,396
"PCSK6",948,1154,1054,1075,108,196,220,74
"PAEP",15,13,8,6,0,2,4,0
"PAFAH1B1",5536,5970,5911,7346,995,2959,3813,1316
"PAFAH1B2",5052,6605,5939,6579,1766,4888,6067,1968
"PAFAH1B3",430,829,561,674,0,0,0,0
"PAFAH2",717,849,678,774,199,486,349,114
"PRDX1",7861,11184,5939,7136,1600,3902,3941,1364
"PAH",0,0,0,0,0,2,1,0
"SERPINE1",7,4,0,0,350,853,1016,391
"SERPINB2",0,1,0,0,73,162,169,40
"PAK1",710,809,406,383,260,677,541,162
"PAK2",7129,7588,6543,7574,786,2434,2173,815
"PAK3",431,481,550,694,267,764,557,158
"PALM",23,49,59,50,28,99,104,42
"PAM",509,568,388,348,942,2672,6128,2139
"CNTN3",15,4,17,17,16,25,15,4
"PAPPA",6,7,17,10,67,115,100,45
"PRKN",37,34,35,31,5,14,16,7
"PARN",4063,4275,2629,3192,652,1575,1606,524
"PAWR",2441,2750,2517,2786,344,989,676,237
"PAX1",190,269,246,246,2,4,8,5
"PAX2",10,8,13,9,19,43,8,4
"PAX3",0,0,0,0,7,20,9,0
"PAX5",1,4,1,2,1,1,2,0
"PAX6",19,23,4,5,117,295,281,77
"PAX7",0,1,0,0,0,0,0,0
"PDCL",1256,1267,1311,1539,171,499,577,182
"PAX9",517,584,426,510,106,270,174,52
"PBX1",759,898,631,566,155,440,338,113
"PBX2",2488,2735,3110,3464,1011,2892,2816,976
"PBX3",491,528,233,316,56,197,200,64
"PC",658,862,702,794,157,357,520,155
"PCBD1",11109,12476,5910,6609,1423,3710,2815,942
"PCBP1",6979,8066,7844,9142,642,1661,1870,729
"PCBP2",10669,14714,11662,13021,808,2157,2273,701
"PCCA",1162,1282,811,878,52,184,180,45
"PCCB",5182,6670,3908,4739,260,602,457,189
"PCDH1",868,1278,795,888,109,395,436,138
"PCDHGC3",369,479,269,309,2,12,10,3
"PCDH7",6,6,8,4,4,8,9,5
"PCDH8",1,1,1,2,0,0,0,0
"PCDH9",20,15,80,69,38,157,109,16
"SERPINA5",3,4,17,25,15,55,23,14
"PCK1",0,1,2,4,0,0,1,0
"PCK2",3734,8555,2327,2291,38,111,36,21
"PCM1",6411,6488,5812,6724,495,1369,1310,410
"PCMT1",2546,2968,2469,2915,538,1291,1664,497
"PCNA",9733,9846,7147,8714,2640,6583,6494,2031
"PCNT",2256,2530,2991,3529,93,261,245,61
"PCOLCE",53,74,138,124,53,134,189,55
"CHMP1A",1453,2128,1621,1900,492,1235,1030,440
"PCP4",2,6,1,3,0,0,0,0
"PCSK1",1,1,2,1,0,1,1,1
"PCSK5",17,33,24,35,69,182,132,61
"PCSK2",0,0,0,0,0,0,2,0
"CDK16",3987,5183,5233,5806,1062,2825,2853,977
"CDK17",460,519,692,740,369,1052,1382,474
"CDK18",98,192,197,244,186,463,445,202
"PCYT1A",2510,2979,2836,3367,423,1177,1017,337
"PDC",0,0,0,1,0,1,0,0
"PDCD1",0,0,0,1,0,0,0,0
"PDCD2",3734,4421,3251,3837,697,1833,1621,510
"PDE1A",74,83,30,28,0,1,3,0
"PDE1C",0,0,0,1,249,753,625,182
"PDE2A",53,89,65,65,40,110,87,30
"PDE3A",11,26,46,77,4,10,12,3
"PDE3B",1110,1033,877,1015,84,246,234,91
"PDE4A",107,117,91,124,92,222,136,41
"PDE4B",11,6,14,10,64,157,64,17
"PDE4C",34,38,132,129,1,4,3,2
"PDE4D",222,235,274,286,131,353,333,119
"PDE6A",5,2,8,9,1,4,3,1
"PDE6C",3,17,8,9,1,4,1,1
"PDE6D",517,659,408,497,280,774,625,215
"PDE6G",6,11,13,10,1,8,9,1
"PDE7A",1220,1607,1885,1919,331,970,955,343
"PDE8A",1029,1089,1470,1740,617,1806,2724,893
"PDE9A",2379,2842,3806,4446,17,67,68,30
"PDE1B",4,5,2,1,16,33,25,5
"PDGFA",205,323,204,184,50,138,424,130
"PDGFB",345,504,475,489,159,441,1649,664
"PDGFRA",0,0,0,2,15,47,30,5
"PDGFRL",75,165,20,47,37,111,69,25
"PDE6B",13,32,95,119,1,3,2,0
"PDGFRB",41,42,16,34,2,1,2,0
"PDHA1",4961,5914,3787,4662,1387,3643,2976,946
"PDHB",3944,5290,3648,4192,225,686,639,193
"PDK1",2020,2146,7580,8347,290,689,2715,1006
"PDK2",1609,2109,1655,1730,224,706,535,195
"PDK3",1110,1149,2092,2194,961,2399,4744,1738
"PDK4",2,1,0,0,23,62,48,14
"ENPP1",1129,1163,593,797,546,1547,1292,446
"ENPP2",1,6,6,9,7,18,17,7
"ENPP3",63,76,72,102,1,17,2,1
"PDPK1",2185,2449,2022,2493,95,246,195,53
"SLC26A4",18,10,10,12,13,21,39,28
"PDYN",4,0,4,2,0,0,0,0
"PDZK1",32,33,13,36,14,21,22,4
"PECAM1",0,2,0,2,83,240,406,100
"SERPINF1",45,35,26,38,22,56,40,12
"PEG3",3761,3932,5222,5787,1,3,2,2
"PEPD",601,691,455,558,193,454,361,140
"PER1",586,833,2201,2409,45,142,156,46
"GATB",1113,1229,737,928,180,418,338,129
"PEX1",1718,1653,1284,1499,236,723,412,157
"PEX6",1098,1495,839,877,241,516,351,169
"PEX7",601,748,305,389,28,83,39,30
"PEX10",2589,3067,1264,1593,217,550,329,134
"PEX12",1029,1113,653,761,150,355,208,85
"PEX13",1349,1498,1408,1618,300,771,925,279
"PEX14",690,1148,823,846,107,333,358,117
"PF4",0,0,0,0,0,1,1,0
"PF4V1",0,0,0,0,0,1,0,0
"PFAS",920,1092,539,665,157,385,167,53
"CFP",6,4,4,6,0,9,8,0
"PFDN1",1845,2348,1499,1727,722,1659,1691,559
"PFDN2",3126,4111,2501,2992,487,1352,920,286
"PFDN4",3118,2790,2439,2815,651,1393,1887,588
"PFDN5",5529,8761,5213,5640,859,2086,2322,803
"ATP8B1",3820,4276,2669,3084,56,154,81,35
"PFKFB1",37,56,30,41,4,14,6,1
"PFKFB2",1399,1510,1065,1261,58,152,79,23
"PFKFB3",1061,1188,7553,7768,208,472,2623,821
"PFKFB4",591,810,4597,4985,314,730,5001,1832
"PFKL",3409,4971,5644,6711,363,835,1528,643
"VIT",0,0,1,2,0,0,1,0
"PFKM",4044,5537,3258,3801,588,1531,986,368
"PFKP",3243,4720,13715,15406,1238,3081,7262,2800
"PFN1",26725,34791,27716,31209,8072,22607,20079,7429
"PFN2",4919,6541,4351,4974,2197,6287,7252,2600
"CDK14",1457,1402,2096,2423,321,869,1143,358
"PGA5",0,1,0,1,0,0,0,0
"PGAM1",8023,11005,20848,22303,1191,3439,5668,2105
"PGAM2",55,72,64,64,4,5,8,4
"PGC",227,256,3344,3944,0,0,0,0
"PGD",11071,13869,9482,11359,1934,4872,4141,1456
"PGF",0,2,5,13,7,9,22,5
"PGGT1B",2345,2529,2120,2412,116,354,392,112
"PGK1",14795,21635,75874,81688,396,1190,4294,1327
"PGM1",1122,2090,2948,3306,421,1076,2630,834
"PGM3",2831,2970,2135,2714,510,1455,1801,629
"PGM5",34,52,25,26,292,726,985,293
"PGR",16,24,4,2,0,0,3,1
"ABCB1",3,0,1,1,0,1,0,1
"ABCB4",76,150,70,109,19,45,38,18
"PHB1",4820,8114,3231,3919,3162,7856,5132,1869
"SLC25A3",7722,11561,6463,7759,2108,5250,4767,1705
"PHEX",12,3,3,8,57,155,219,74
"PHF1",512,861,1015,1134,347,921,1089,368
"PHF2",2298,2806,2825,3187,220,483,442,160
"PHKA1",1793,2120,2634,2929,734,2047,1840,620
"PHKA2",1327,1413,972,1177,496,1303,1126,470
"PHKB",7171,8258,4865,5825,474,1206,1079,353
"PHKG1",393,666,376,422,38,133,130,54
"PHKG2",782,1020,940,1165,68,154,129,64
"PHYH",2038,2958,1488,1752,39,68,50,24
"SERPINA1",69,51,58,66,910,2622,2671,1006
"PI3",4,2,10,4,57,188,224,88
"SERPINA4",0,0,0,4,0,0,0,0
"SERPINB5",688,686,787,949,155,463,581,152
"SERPINB6",5201,7755,4520,5106,808,2036,2974,979
"SERPINE2",150,271,1454,1821,97,301,357,138
"SERPINB8",157,170,145,140,630,1929,2550,836
"SERPINB9",0,0,1,0,5,13,4,6
"SERPINB10",0,0,0,0,1,2,1,0
"SERPINI1",244,395,160,192,40,80,95,26
"SERPINI2",3,0,2,0,0,0,0,0
"PIGA",1001,969,1716,1920,623,1674,2768,957
"PIGC",714,851,617,726,637,1715,1658,559
"PIGF",617,679,462,598,105,283,259,98
"PIGH",516,797,273,310,238,602,524,184
"PIGR",18,15,1,14,0,0,0,0
"PIK3C2A",4456,4355,5960,6588,688,1875,2070,566
"PIK3C2B",1683,2036,1852,2298,205,619,359,113
"PIK3C2G",1,0,0,2,7,15,18,4
"PIK3C3",1838,1993,1666,1931,297,698,1204,395
"PIK3CA",591,612,612,711,683,1873,2082,652
"PIK3CB",3524,3957,2393,2890,356,936,1029,317
"PIM1",222,301,478,506,278,860,1489,457
"PIK3CD",1826,2363,3354,3953,80,204,304,115
"PIK3CG",1,0,0,0,1,6,4,2
"PIK3R1",9175,10477,7570,8778,94,259,291,62
"PIK3R2",3035,4168,4200,4646,126,360,298,95
"PI4KA",3953,4832,4246,5019,650,1657,1723,562
"PI4KB",2674,4055,2745,3180,923,2456,2585,787
"PIN1",879,1641,719,775,689,1533,947,406
"PIN1P1",0,0,4,1,0,0,0,0
"PIN4",2390,3101,2134,2235,173,543,544,204
"PIP",22,51,18,30,0,1,0,0
"PIP4K2A",1214,1370,1070,1245,57,200,145,37
"PITPNA",8873,10501,9619,11014,336,1062,891,283
"PITX1",1025,1474,824,1028,104,260,95,45
"PITX2",2,3,0,4,1,2,1,2
"PITX3",0,0,0,0,0,1,0,0
"PKD1",1842,2786,2787,2753,147,377,290,112
"PKD2",939,990,645,747,194,532,547,154
"PKLR",7,14,10,17,2,5,4,2
"PKHD1",6,19,11,22,6,19,26,11
"PKM",29694,38833,87303,96974,23900,62669,86325,30935
"PKNOX1",872,1183,717,918,184,468,387,185
"PKP1",40,54,41,27,1287,3161,3274,1319
"PKP2",461,578,658,796,40,94,154,33
"PLA2G1B",2,1,1,2,1,3,0,0
"PLA2G2A",364,303,1799,1794,0,0,0,0
"PLA2G4A",73,47,29,30,65,173,109,29
"PLA2G5",66,89,194,177,1,1,0,2
"PLAG1",29,23,16,8,53,164,249,72
"PLAGL1",33,34,37,50,176,425,1336,493
"PLAGL2",1384,1877,1716,1899,1034,2648,3435,1204
"PLAT",26,37,3,21,729,2109,6992,2717
"PLAU",4,0,0,0,6013,16013,14068,5884
"PLAUR",37,49,62,80,705,1772,2269,1005
"PLCB2",5,15,6,6,1,1,1,0
"PLCB3",932,1228,1235,1439,350,841,903,316
"PLCB4",7311,8432,3928,4696,599,1641,1638,593
"PLCD1",200,238,192,254,27,104,80,23
"PLCL1",23,7,15,16,5,11,12,1
"PLCG1",3367,4210,7024,7924,688,1916,2136,720
"PLCG2",82,80,57,61,124,562,515,214
"PLD1",17,27,0,2,166,477,424,145
"PLD2",561,689,652,691,41,112,98,38
"PLEC",4712,6224,6172,6901,1876,4875,4369,1528
"PLG",35,37,30,52,3,6,4,2
"PLEK",4,4,0,2,1,0,0,0
"PLGLB2",37,42,36,49,9,23,23,11
"PLGLB1",28,34,30,40,8,21,21,13
"SERPINF2",7,9,2,6,2,8,9,3
"PLIN1",29,25,80,75,9,16,22,9
"PLK1",2817,3332,2557,3157,705,1774,1998,668
"FXYD1",1,6,13,27,0,6,1,0
"FXYD3",1197,1696,2385,2911,1,5,5,1
"PLN",0,0,2,0,2,8,5,1
"PLOD1",6229,9232,17085,18466,2646,6626,8688,3454
"PLOD2",379,434,18868,19965,858,2361,10394,2945
"PLP1",1,5,28,21,0,1,0,0
"PLP2",592,743,518,555,1432,4223,4118,1515
"PLRG1",2392,2913,1736,2066,782,1976,1845,671
"PLS1",917,1041,747,833,553,1371,1232,365
"PLS3",2468,2989,3015,3436,864,2312,3547,1069
"PLSCR1",183,189,73,88,373,1015,574,230
"PLTP",28,57,18,22,139,389,374,156
"PLXNA1",1531,2148,1649,1986,2177,5568,4779,1767
"PLXNA2",50,87,51,52,135,367,510,174
"PLXNB1",1170,1618,1685,1891,179,452,346,115
"PLXNB3",881,1277,1848,2147,24,80,133,55
"PMAIP1",1742,2204,1738,1803,326,753,820,233
"PMCH",108,104,121,150,30,82,82,28
"PNOC",0,0,0,1,0,1,0,0
"PMCHL1",2,0,1,1,0,0,0,0
"PMCHL2",7,5,2,5,4,13,8,4
"PML",646,897,633,663,88,254,195,78
"PMM1",385,709,313,295,83,247,173,80
"PMM2",2204,2673,2132,2596,234,693,548,190
"PMP2",0,0,0,0,7,12,12,2
"PMP22",25,34,23,30,490,1251,1272,427
"PMS1",1844,1826,1335,1638,387,1054,860,308
"PMS2P1",393,525,284,303,63,153,93,42
"PMS2P2",26,45,21,31,9,23,15,4
"PMS2P4",70,74,102,135,17,42,34,11
"PMS2P5",158,202,133,144,20,58,31,8
"PMS2P3",190,215,241,287,48,102,103,42
"EXOSC9",2604,2716,1875,2150,162,408,383,107
"EXOSC10",3365,3715,2852,3382,536,1509,1217,406
"PMS2",2556,3018,2051,2365,378,936,699,263
"PRRX1",0,0,0,0,0,7,4,0
"PNLIP",35,35,84,114,0,0,1,0
"PNLIPRP2",5,6,1,1,3,5,10,3
"PNMT",0,0,0,1,1,2,0,1
"PNN",21104,24303,19461,21968,55,204,140,48
"UBL3",1208,1491,1101,1210,208,568,592,193
"SEPTIN5",751,1129,859,949,21,44,42,15
"SEPTIN4",17,51,11,13,32,96,51,16
"PODXL",2925,3676,2823,2912,1008,2774,8328,2464
"POLA1",1865,1863,1382,1782,796,2184,2081,644
"POLB",774,977,829,980,203,510,451,167
"POLD1",711,961,890,1059,166,378,288,107
"POLD2",8283,10219,5926,6807,1190,3106,1882,817
"POLE",1994,2196,2270,2726,159,421,341,115
"POLE2",567,547,289,285,334,904,646,223
"POLG",1845,2476,2804,2972,269,728,709,246
"POLH",1902,2019,1789,2202,222,625,555,177
"POLR2A",11234,15769,15913,18021,770,2486,1934,521
"POLR2B",9350,10151,9570,11428,2681,6898,7706,2358
"POLR2C",1499,2028,1288,1498,463,1149,958,351
"POLR2D",1938,2328,1476,1768,293,719,396,135
"POLR2E",3711,5728,4137,4522,723,1749,1167,478
"POLR2F",1632,2812,1614,1725,380,958,737,235
"POLR2G",1527,2115,717,883,507,1332,789,335
"POLR2H",1661,2479,1974,2332,459,1247,1719,634
"POLR2I",1055,1494,918,1103,166,381,230,94
"POLR2J",2322,3130,2339,2601,586,1500,1130,404
"POLR2K",2300,2963,1892,2168,823,2278,1534,597
"POLR2L",2447,3667,1524,1820,493,1069,715,300
"POLRMT",663,1064,594,685,265,583,266,115
"PON1",0,2,2,3,2,7,3,0
