"","LNCaP_EV_Normoxia_rep1","LNCaP_EV_Normoxia_rep2","LNCaP_OC2_overexpress_Normoxia_rep1","LNCaP_OC2_overexpress_Normoxia_rep2","LNCaP_EV_Hypoxia_rep1","LNCaP_EV_Hypoxia_rep2","LNCaP_OC2_overexpress_Hypoxia_rep1","LNCaP_OC2_overexpress_Hypoxia_rep2","PC3_siCtrl_Normoxia_rep1","PC3_siCtrl_Normoxia_rep2","PC3_siOC2_Normoxia_siRNA1","PC3_siOC2_Normoxia_siRNA2","PC3_siCtrl_Hypoxia_rep1","PC3_siCtrl_Hypoxia_rep2","PC3_siOC2_Hypoxia_siRNA1","PC3_siOC2_Hypoxia_siRNA2"
"FAXDC2",1388,1831,906,1542,1877,2243,1859,1273,78,162,181,166,189,59,41,180
"FAM114A2",2409,2767,1307,1945,1679,1980,1631,1085,203,656,674,376,548,188,77,375
"ZNF275",1309,1396,695,1113,1355,1572,1562,1085,335,862,1401,1050,693,236,261,994
"ALDH1L1",13,22,11,23,20,16,35,20,0,0,0,0,0,0,0,2
"FTCD",73,112,31,52,67,57,81,65,3,6,14,16,7,2,2,8
"TUBGCP2",2803,3949,1947,2372,3225,3664,2770,2009,676,1784,2210,1421,6307,2135,833,2361
"CLPX",3465,3623,1973,2883,3458,4019,3219,2478,99,289,339,290,291,98,92,308
"PDE10A",2138,2113,804,1472,2278,2516,2159,1385,232,682,757,1366,653,190,137,1675
"SRCAP",6629,9071,4667,7426,10800,11732,9116,7404,537,1553,1491,1112,1525,378,540,945
"PPP1R13L",285,454,315,416,553,651,502,374,59,166,341,150,259,119,121,260
"POLR1G",621,783,477,619,371,446,448,286,262,681,599,766,332,120,121,707
"CCL27",4,2,9,6,3,0,1,3,0,2,2,2,0,0,1,0
"HPSE",82,79,46,123,51,68,121,71,32,104,156,182,62,29,20,158
"RUVBL2",1513,2481,1070,1252,1221,1472,1284,838,313,714,643,741,446,154,86,539
"PGRMC1",3234,4052,1702,2674,2989,3523,3443,2546,782,1924,2515,1570,2378,819,795,2009
"CYP46A1",40,63,40,81,70,68,81,73,0,8,7,5,4,2,0,1
"LILRB1",0,0,1,0,1,0,5,1,2,3,1,10,0,0,1,7
"SLC26A1",353,443,243,364,444,483,398,310,6,25,39,11,7,2,7,22
"ADAM28",46,40,49,82,311,446,213,211,13,52,84,102,45,13,37,108
"SLC22A7",2,0,1,0,0,0,1,1,2,0,1,2,0,2,0,2
"ARID5A",681,1104,525,760,1298,1433,1138,775,74,179,489,260,313,115,185,390
"HCP5",136,150,59,83,122,150,148,115,84,159,302,278,67,35,23,202
"TSPAN9",857,1358,675,1046,764,859,1292,768,218,539,837,541,358,145,206,530
"USP20",906,1377,804,1133,981,1175,1471,889,95,186,378,248,129,55,54,170
"USP19",1950,2585,1339,1940,1946,2363,2262,1655,442,1152,1374,1112,870,262,252,848
"HCST",13,30,27,32,13,29,45,36,1,4,10,13,0,1,0,10
"CD300C",12,7,5,6,3,3,13,4,0,0,6,1,2,0,0,0
"NMU",226,302,88,140,138,184,166,74,80,210,120,198,172,74,22,211
"FGL2",3,0,1,0,3,0,2,2,0,7,3,5,6,0,1,4
"CFHR4",11,4,6,3,6,13,6,4,0,1,0,0,1,0,0,0
"CFHR3",19,22,11,19,21,30,23,10,2,3,2,3,3,1,0,10
"C1QL1",36,45,316,389,32,28,734,458,75,190,145,353,382,159,54,498
"MRPS30",1947,2059,879,1509,1129,1375,1263,940,479,1269,1622,803,1023,342,250,710
"WDR3",5130,5718,2724,3998,3130,4147,3190,2347,507,1229,1743,1764,763,244,251,1387
"NPFFR2",1,0,0,0,2,0,0,0,0,2,9,23,1,1,1,13
"PROKR1",2,1,0,2,0,4,1,0,0,2,4,47,2,0,1,23
"GPR83",7,7,9,2,1,4,2,2,1,4,7,7,3,1,4,8
"RAB10",13477,14827,7315,11424,9424,10702,11568,7642,1362,4110,6856,5717,4234,1412,1492,6829
"PPARGC1A",113,121,55,103,54,73,73,35,14,50,45,119,12,8,5,62
"MALT1",6410,5895,3279,5872,28805,31705,21434,16293,652,1755,2462,2218,3193,914,2212,2712
"MMP24",242,415,137,213,566,631,517,290,83,192,286,237,174,68,56,228
"YIF1A",883,1591,483,684,572,603,669,407,296,824,1710,758,440,201,190,589
"CPSF4",966,1245,524,700,1069,1206,950,679,130,301,173,239,198,87,17,207
"JTB",2502,4420,1274,2326,1983,2245,1984,1383,703,1831,2454,2358,1405,499,403,2055
"RUNDC3A",20,85,47,91,39,41,87,60,10,15,27,32,18,3,6,17
"DHRS4",451,715,280,398,261,281,336,199,54,142,202,113,108,34,32,99
"BRD8",4656,5153,2529,3737,4578,5131,4674,3507,59,193,154,99,161,45,29,98
"MTMR11",197,233,248,385,237,310,319,321,244,608,974,684,840,357,180,762
"BLCAP",1497,2097,961,1419,2415,2672,2048,1452,595,1536,2900,2182,2346,795,1127,3145
"MAN1A2",4614,4924,3232,4363,4230,4988,3979,3179,1683,4892,5298,3403,5603,1671,1437,3840
"TRAFD1",1661,2057,1113,1558,2398,2859,2255,1592,349,1030,1827,1019,963,296,556,1048
"TXNL4A",4915,6968,3510,4806,5158,5637,5196,3544,332,940,1147,1263,1076,300,335,1527
"PNPLA6",1163,1811,820,1206,1761,2090,1611,1239,453,1135,1864,1244,1355,456,632,1408
"SUGT1",1917,2030,955,1511,1537,1713,1388,1103,464,1223,1517,1190,1234,371,355,1251
"UTS2",2,0,3,7,0,1,16,12,3,2,4,25,5,3,0,25
"GADD45G",267,444,336,318,418,412,1184,743,4,5,5,16,17,8,8,25
"EDAR",10,6,11,20,17,21,20,17,1,3,5,5,3,1,2,1
"PAPOLA",14470,14486,6923,12034,12690,14816,12729,9494,1379,4319,1900,3624,3964,1235,284,3245
"TCERG1",5621,6258,2949,4420,6966,7656,6360,4537,1236,3453,3538,2440,3823,1101,925,2879
"MAGED2",2078,3414,1243,2026,1941,2325,2763,1743,560,1444,4010,1125,1560,567,995,1076
"EHMT2",1851,2507,1616,2196,2360,2891,3062,2266,293,805,900,664,559,205,191,653
"COPS8",2550,3130,1297,2301,2557,2952,2631,1866,339,896,1150,1398,809,272,224,1404
"RNPS1",5395,7111,3147,4179,5051,5914,5149,3619,629,1787,1969,1502,1101,429,461,1563
"FASTK",1230,2320,625,1115,1232,1440,1231,926,254,604,883,595,461,182,178,553
"SUB1",10546,12159,7215,9083,8446,9316,9619,6681,1204,3261,5083,5297,3831,1302,1144,6358
"SMPDL3A",1484,1676,834,1346,1665,2001,1331,1047,91,290,323,322,263,79,52,321
"DBF4",2920,2850,1580,1961,2140,2460,1788,1258,518,1450,1036,614,1195,415,141,520
"SPIN1",6539,7528,5480,6981,8812,9666,11334,8020,379,977,1279,1377,1120,317,372,1582
"RALBP1",3405,4216,1995,3179,4007,4802,3712,2968,111,347,325,219,261,88,79,187
"SRSF8",3914,4666,1858,2970,3938,4590,3982,2978,171,453,608,528,321,105,65,434
"APOBEC2",4,5,1,6,4,7,5,4,2,10,7,11,9,3,1,3
"MORF4L1",9427,10556,5489,8631,9153,10631,11276,7703,1613,4388,6262,4019,5479,1585,1726,4553
"PRDX3",8554,9654,3930,7237,6154,7464,6623,4725,238,647,910,303,569,210,273,322
"GPR75",101,129,45,78,72,100,60,68,26,107,140,107,79,19,55,161
"EHD1",378,592,355,477,395,527,531,422,339,832,496,1007,947,338,114,1222
"AFG3L2",3456,4439,1959,2841,2858,3415,2887,2087,245,642,492,567,554,162,151,489
"POP1",645,704,315,482,366,464,347,298,204,471,505,640,373,116,51,480
"MSL3",1462,1670,1067,1311,2066,2618,1928,1478,763,2065,1632,1683,2405,771,407,1811
"C11orf58",6908,7674,3917,6087,5538,6297,7170,4834,344,826,1176,867,851,237,280,792
"KDELR1",4323,6250,4043,5732,4920,5475,5867,4024,882,2392,3993,2334,2199,731,821,2413
"SF3A3",5514,6718,3134,4337,3969,4287,4311,2820,420,1120,1710,949,924,277,308,889
"AP3M2",2318,2765,1420,2043,1567,1709,2440,1341,321,793,854,599,617,236,104,610
"STARD3",819,1193,570,879,829,881,966,620,155,363,547,578,274,103,115,427
"HNRNPA0",4309,5906,1880,3562,5007,5637,6206,4186,489,1217,1632,1209,858,318,314,1072
"BTG3",1208,1327,597,859,1203,1348,1260,792,172,425,908,484,411,134,154,482
"CBX1",6363,8027,4804,6157,8580,8956,9341,6385,1210,3516,3611,2606,3578,1182,1091,2921
"SEC61B",2684,2688,1639,2542,1909,2421,2566,1640,630,1415,2198,988,1376,454,573,841
"TOMM34",2714,3994,1727,2726,2691,3194,3072,2152,2108,6234,9830,5362,5070,1951,1874,5604
"PDIA5",1927,2360,930,1455,1779,1888,2102,1387,123,306,449,147,293,117,163,128
"SERINC3",10463,12865,8147,10424,9375,10157,12308,7866,1468,4331,7957,5094,5390,1838,2127,6467
"OS9",5948,8531,4135,5660,5436,6078,7199,4442,1061,2661,2806,2237,2727,958,626,1982
"PNRC1",928,953,684,1063,1525,1679,2488,1671,160,440,995,427,1421,421,762,937
"TMED2",24756,27624,15562,24284,17847,21105,23695,15042,3120,8338,15713,9304,10005,3270,4627,11014
"LMAN2",3976,6137,2784,3609,3289,3673,3860,2477,947,2437,3236,2118,1909,735,603,1741
"ERP29",17941,23032,14332,15507,12848,15117,13370,8867,930,2519,3485,3063,2090,634,804,2744
"MLLT11",203,255,158,218,333,428,681,485,1260,3388,5334,4486,3474,1165,2089,5076
"STIP1",16211,17554,13487,16971,12203,15234,15059,10692,576,1521,1818,2060,1221,289,420,1476
"IFI44L",643,693,259,382,266,283,100,58,66,193,590,243,98,29,123,197
"ACOT2",645,1053,441,620,548,748,664,445,212,490,545,701,386,159,79,619
"RAB40B",823,1036,473,667,754,868,1160,702,57,138,194,172,132,56,30,179
"EBNA1BP2",3028,3723,1972,2659,2169,2767,2503,1761,413,1123,1387,834,789,247,171,817
"CKAP4",5524,7739,3159,5366,5373,5958,6019,4108,2314,6218,8339,2205,5638,1998,1809,2024
"YWHAQ",11226,12832,7079,10746,11224,13489,15426,10363,2957,7655,5548,6768,10874,3621,1615,8314
"TMED10",14818,16448,7888,12871,12207,13587,15826,9609,1881,5257,2851,3221,5428,1924,661,3355
"ASCC3",5686,5565,2817,4763,4487,5423,3927,3281,1078,2978,4555,2947,3183,1053,1041,3577
"ADIRF",0,0,0,0,0,0,1,2,42,99,91,34,62,30,11,28
"UQCR11",1744,3864,866,1581,1790,2153,1661,1120,388,856,1215,962,710,278,248,849
"CLP1",322,422,227,342,307,409,282,243,123,352,572,194,357,100,126,217
"FERMT2",642,701,507,682,845,888,1076,791,1937,5438,14146,8975,7450,2567,4667,10979
"COPS6",4610,6271,2978,3920,3688,4725,3727,2721,689,1840,1834,1238,1571,461,418,1246
"RAB32",252,360,118,236,302,332,243,196,228,605,563,466,513,174,109,418
"MAPRE2",1369,1577,672,1190,824,1035,892,797,162,498,478,483,253,86,82,436
"CCNI",19270,23262,9309,15989,22395,24156,21693,15243,1752,4879,5821,3660,5619,2118,1611,4583
"KCNQ1OT1",524,629,413,622,336,406,741,379,157,468,625,387,373,98,145,470
"GCN1",8417,8954,4339,6994,8191,9984,6611,5275,482,1348,1554,1044,1427,458,428,1051
"COPS5",1678,2227,936,1613,1365,1679,1446,1074,310,796,1170,1091,682,230,227,1033
"METAP2",12700,16987,10539,13246,11810,13442,11757,8446,1383,3826,3379,2605,3479,1046,628,2807
"IMMT",4506,5679,2458,3953,3984,4533,3988,2687,1367,3778,4634,3154,4001,1368,1196,3856
"SLC38A3",6,6,21,40,17,16,56,48,5,12,31,43,10,4,4,51
"SF3B2",14245,18020,10453,13309,14589,16605,15985,11113,573,1407,1803,890,1206,410,373,799
"SDS",4,2,2,2,6,2,3,1,1,0,2,3,0,1,0,3
"HACL2",557,1204,367,522,680,741,576,378,209,444,786,532,433,199,172,463
"SLC27A5",491,823,257,401,460,451,356,264,67,152,284,284,91,45,45,277
"SLC27A4",651,884,525,809,743,987,749,642,183,397,366,367,354,110,68,330
"SLC27A3",210,245,99,168,222,268,213,167,7,20,23,17,24,16,8,29
"SLC27A2",1279,1635,701,943,622,761,582,415,66,136,117,257,87,25,13,197
"KIF2C",1727,1800,631,1173,1761,1887,1464,898,165,476,324,206,333,127,68,178
"SPINK5",3,13,6,7,2,4,4,2,1,5,32,17,3,0,1,2
"CCDC85B",767,1503,558,541,453,562,571,349,487,947,524,917,537,214,73,630
"IL24",11,14,16,14,7,2,6,5,8,17,88,438,15,6,3,213
"GLIPR1",2439,2539,1518,2106,2453,2847,2439,1899,1391,3922,18280,1969,5183,1498,6586,2503
"TLK2",2506,2830,1538,2235,2736,3244,3058,2437,245,684,526,564,675,192,119,458
"TMSB15A",133,133,51,117,188,185,170,112,46,125,149,108,99,50,41,126
"KDELR2",6305,8439,3795,6080,5371,5830,5882,3944,1535,3935,10175,4179,4672,1610,2766,4450
"KDELR3",256,267,230,428,284,283,580,360,299,774,2079,367,876,328,421,380
"ATF7",1874,2328,1106,1872,1809,2019,2554,1633,382,1063,1192,560,938,361,298,590
"SNRNP27",2565,3308,1831,2621,3391,3589,3614,2472,287,806,1145,898,699,210,227,812
"TMED1",515,683,352,420,550,678,473,366,219,513,640,498,476,162,103,290
"LIAS",874,774,457,605,360,464,435,287,64,175,157,162,83,45,19,114
"IFT27",417,650,233,305,300,273,455,258,116,316,355,357,229,81,54,291
"RAB35",2218,2640,1459,1915,1928,2365,2237,1606,459,1283,1456,1380,1082,375,376,1329
"TDRKH",1185,1358,588,838,749,829,749,489,211,572,967,528,365,147,79,346
"VAX1",13,20,18,10,21,17,36,37,61,114,45,105,123,49,6,113
"LILRB3",13,18,11,8,7,6,6,11,10,20,13,13,11,3,4,7
"RBPMS",381,630,170,309,425,475,458,351,179,466,283,354,472,135,38,414
"RAB31",59,78,42,71,1080,994,536,499,95,276,361,190,283,88,86,197
"ADAP1",99,229,151,147,67,93,149,85,13,45,92,67,20,10,15,43
"DSTN",10715,12352,6261,10365,10080,11858,10724,7614,254,810,1536,1218,913,244,433,1079
"GTF2A1L",3,1,2,3,2,1,3,1,1,2,1,2,6,0,4,2
"STON1",153,170,57,117,225,219,181,100,34,109,106,70,124,33,25,32
"GUSBP14",1293,1563,1069,1350,1706,1748,1911,1394,20,54,55,33,36,18,10,31
"PIM2",649,826,587,820,995,929,967,659,186,513,580,486,717,264,252,693
"B4GAT1",769,1238,571,603,784,938,703,472,234,530,385,871,511,169,76,755
"GUSBP15",864,1203,777,771,1142,1169,1190,807,10,37,24,20,18,12,7,16
"MID2",853,945,457,738,1770,1833,1084,868,164,455,709,533,512,138,287,506
"TENT4A",1562,1815,858,1395,3027,3280,2425,1830,233,616,887,683,1374,396,530,1107
"UPK1A",3,1,22,32,5,8,10,8,0,2,1,3,1,1,2,1
"SLC35D2",758,1322,590,773,539,576,805,489,192,433,645,318,338,112,124,230
"ADRM1",2807,4199,2578,3343,3302,4079,3842,2782,2273,5567,6304,4596,4505,1506,1361,4021
"NUDT21",10920,11328,6248,8619,8901,10107,9240,5891,978,2528,5147,2782,2838,848,1323,3243
"CPSF6",6294,7319,3638,5226,6612,7598,7068,5182,1118,3216,4008,2287,2887,949,923,2749
"OGFR",1336,2018,1228,1363,1597,1893,1668,1262,650,1518,1338,1466,1086,412,160,1230
"DDX52",2477,2594,1336,2038,1931,2419,2366,1915,453,1119,879,1242,1197,370,254,1416
"ABHD2",21413,29556,11439,20045,31792,34236,31251,20931,838,2212,2762,1654,2033,724,587,1753
"WWP1",4857,5023,2563,4311,5226,6050,5389,3815,1314,3497,2513,2015,4316,1309,864,2380
"WWP2",2415,2970,1472,2042,1782,2162,2211,1472,71,251,355,220,243,97,57,233
"CNMD",0,1,1,1,0,3,1,0,1,0,1,1,2,0,0,1
"DUS4L",489,551,272,395,407,434,446,325,111,317,162,235,299,94,53,274
"SOX30",0,0,0,2,0,0,0,1,3,10,4,4,4,0,4,8
"CNTRL",712,691,363,562,648,687,770,517,175,490,164,257,305,114,25,263
"UBE2C",2318,2790,1020,1773,1818,2016,1667,1079,2534,6960,6386,3817,5931,2220,1248,4037
"SNRNP35",1216,1723,1072,1234,1313,1558,1357,969,63,151,159,124,97,41,22,81
"DEPP1",38,46,76,96,54,67,128,73,122,332,242,110,5692,2064,236,891
"CYB561D2",343,575,233,318,231,273,280,157,52,126,240,178,88,33,31,110
"RAPGEF4",21,38,4,17,39,44,53,52,4,10,13,46,18,10,19,26
"TMEM115",762,1118,415,759,717,934,876,512,120,385,361,528,210,99,81,321
"DUSP14",850,1216,696,1033,730,877,769,606,150,416,547,411,447,129,195,466
"TOPBP1",4573,4719,2038,3431,5052,5650,4034,2971,815,2261,2510,1605,2700,839,853,1808
"TRIM31",7,4,6,2,0,2,9,4,149,395,86,6,310,71,20,13
"TPPP",259,413,274,382,221,263,638,361,30,58,54,55,32,18,5,38
"HSF2BP",108,116,53,127,145,164,108,91,21,60,85,91,68,24,8,92
"TRIOBP",1165,1806,880,1102,2112,2034,2978,1834,356,1064,723,363,1854,621,133,554
"RER1",5755,6993,3420,5113,3491,4188,4271,2754,824,2020,1775,1988,1797,684,279,1820
"DNAJB4",2042,2084,1351,1749,1326,1627,1514,1092,339,1090,1959,873,820,291,404,782
"ESM1",1,0,0,3,0,0,0,0,9,50,96,367,122,35,32,518
"DIDO1",3457,4224,2204,3170,3725,4428,4378,3074,486,1288,1563,998,1027,386,287,902
"WDR5",2586,3212,1575,2261,2366,2840,2426,1681,210,564,737,715,458,190,154,700
"SPACA9",249,297,153,244,128,130,308,156,10,22,26,29,21,12,0,23
"ADAMTS13",389,474,253,354,469,562,622,386,5,17,20,15,10,6,3,16
"CACFD1",355,601,253,360,470,546,618,446,51,151,243,179,90,34,41,156
"ADAMTS8",3,10,14,15,2,2,13,5,8,6,5,11,1,1,1,21
"ADAMTS5",0,1,0,1,5,1,8,3,1,4,21,13,3,0,13,21
"NUP42",1684,2056,1084,1736,1642,1963,1378,1085,146,398,565,352,261,87,70,300
"PRSS23",489,549,297,450,298,338,656,427,49,162,111,249,124,35,73,335
"PTPN21",480,582,426,571,310,428,689,474,77,234,279,287,160,51,80,312
"HNRNPUL1",8066,10124,4838,6938,8873,10200,9137,6319,1936,5495,7308,2121,5432,1838,1640,2184
"ATE1",1368,1600,751,1316,2034,2065,1837,1444,276,826,1227,758,730,221,318,791
"RPP14",1027,1168,656,930,1089,1322,1023,788,165,422,613,691,418,126,195,624
"KRR1",5031,5383,3081,4474,5258,6181,5214,4012,1084,3111,7622,2039,4121,1166,2232,2587
"KATNA1",735,885,504,630,855,915,914,667,158,377,438,309,378,144,85,349
"PRDM7",11,11,25,12,13,7,42,16,0,3,3,6,0,0,0,7
"PRDM5",1,3,1,1,0,0,0,0,85,253,177,100,242,88,31,129
"PRDM4",1994,2337,1094,1616,1837,2214,2280,1561,697,1711,2573,1266,1745,624,487,1279
"HIBADH",3156,3992,1712,2940,2721,2788,2882,1834,429,1178,1317,296,955,354,221,209
"CIT",1703,1828,763,1131,2240,2382,1824,1136,494,1303,1807,734,1181,445,421,692
"CEP43",1402,1270,727,1123,1286,1676,1265,996,162,451,576,591,436,129,162,531
"EMILIN1",39,50,24,21,70,79,45,37,10,4,10,10,8,4,0,9
"BTN3A2",1100,1214,444,765,778,874,727,418,362,1064,1693,876,533,180,148,743
"BTN3A1",1048,1076,618,861,635,640,1173,633,398,980,1137,627,357,112,37,457
"BTN2A1",1520,1952,1565,1993,1928,2265,3165,2359,230,649,628,496,551,169,166,372
"RCAN3",1294,1375,947,1486,1361,1501,2130,1686,217,569,829,451,688,236,212,534
"FAF1",2696,3218,1257,1855,1890,2269,2145,1348,8,21,23,18,12,7,13,9
"CD160",5,5,3,4,4,4,4,4,0,18,13,5,5,2,3,9
"KIF3A",3938,4196,2564,3864,5821,6440,5278,4573,101,319,328,471,365,101,86,391
"POLR3A",2165,2460,1256,1880,2192,2690,2279,1812,679,1822,1700,1599,1336,460,268,1279
"CLASRP",841,1031,560,796,1271,1504,1047,853,33,81,90,51,62,17,27,40
"ZWINT",5508,6022,2971,3819,4544,5446,3216,2385,2155,5604,5079,2674,5852,1981,1381,2376
"CAPN11",5,0,10,15,0,3,5,11,0,1,0,0,1,2,0,0
"CAPN10",171,418,115,159,228,263,210,138,74,172,322,159,83,33,65,122
"KPTN",195,313,168,244,221,203,242,146,44,102,128,95,71,30,17,93
"CDC42EP1",477,785,578,842,835,832,880,529,659,1827,1292,1475,2651,875,560,2117
"SLC7A9",13,15,8,11,23,17,17,18,0,2,1,3,1,2,0,0
"PWP1",2690,3325,1414,2355,1988,2353,2058,1500,353,1087,1160,1027,929,276,189,1117
"TBC1D8",936,1135,500,915,1459,1713,1343,930,761,2156,862,976,2695,825,180,983
"CDC37",7255,11048,5523,6816,6765,7634,6418,4386,128,307,239,305,143,45,47,211
"IL1RAPL1",93,88,36,52,83,101,77,57,20,48,122,329,38,16,23,320
"PKIG",523,961,408,586,709,717,1140,717,377,930,2090,945,718,229,505,839
"KAT7",2699,3159,1560,2527,3887,4342,3192,2493,1037,2547,2894,2020,2183,689,503,1658
"DMC1",4,5,7,2,1,4,3,2,6,6,13,6,10,3,3,21
"PLAAT3",487,956,398,424,478,468,573,356,226,540,657,438,779,248,150,421
"GLMN",618,727,294,501,576,754,528,433,127,378,344,412,390,119,68,408
"ANKRD13C-DT",1483,2010,964,1618,858,991,1303,749,94,241,311,110,134,52,101,97
"HHLA2",13,11,13,16,30,32,7,10,0,4,4,5,6,1,13,2
"CORO1A",18,56,68,124,33,61,102,75,12,27,41,31,13,4,10,21
"WDR45",1018,1509,752,1143,1053,1233,1311,876,99,203,343,198,196,70,34,246
"FICD",676,923,537,751,403,477,735,450,33,84,101,125,71,24,8,84
"AP4S1",184,301,97,186,180,232,122,98,58,187,100,201,148,55,23,199
"LDB3",26,26,15,34,31,30,44,43,22,45,145,14,16,6,24,5
"PTP4A3",118,196,56,89,182,195,261,138,46,76,140,201,53,14,33,199
"LSM6",927,1150,542,782,695,916,708,591,247,629,773,480,454,176,93,508
"RABL2B",806,1076,482,704,757,922,965,670,109,310,439,255,207,84,52,211
"RABL2A",673,835,409,561,647,738,775,513,80,207,276,177,137,56,34,148
"ERLIN2",5783,7189,3638,5411,3567,3927,4955,3149,256,711,420,384,344,116,18,248
"ERG28",1745,2760,918,1650,1255,1385,1380,911,230,552,855,755,415,171,97,655
"NUDT6",172,328,103,159,150,157,133,106,35,110,94,146,43,16,15,121
"NUDT4",2775,2950,1441,2261,1716,1973,3186,1959,548,1654,1154,1254,1220,392,226,1123
"NUDT5",2586,3263,1658,2300,2437,3074,2753,1940,591,1439,1957,1056,1480,463,478,1136
"NUDT3",2365,2904,1405,2074,2127,2425,3117,2058,197,616,506,741,478,163,147,670
